Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201215,2742,17.32,47491.44
ETSY,US29786A1060,20201215,457,177.8,81254.6
IWV,US4642876894,20201215,12127,220.1,2669152.7
MPW,US58463J3041,20201215,3000,21.35,64050
PFE,US7170811035,20201215,2350,38.71,90968.5
WMT,US9311421039,20201215,204,145.58,29698.32
WWE,US98156Q1085,20201215,2027,45.68,92593.36
SFIX,US8608971078,20201215,-900,64.3,-57870
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201216,2742,17.02,46668.84
ETSY,US29786A1060,20201216,457,182.34,83329.38
IWV,US4642876894,20201216,12127,220.34,2672063.18
MPW,US58463J3041,20201216,3000,21.28,63840
PFE,US7170811035,20201216,2350,37.84,88924
WMT,US9311421039,20201216,204,145.43,29667.72
WWE,US98156Q1085,20201216,2027,45.53,92289.31
SFIX,US8608971078,20201216,-900,66.43,-59787
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201217,2742,17.23,47244.66
ETSY,US29786A1060,20201217,457,188.1,85961.7
IWV,US4642876894,20201217,12127,222.02,2692436.54
MPW,US58463J3041,20201217,3000,21.14,63420
PFE,US7170811035,20201217,2350,38.03,89370.5
WMT,US9311421039,20201217,204,146.1,29804.4
WWE,US98156Q1085,20201217,2027,47.49,96262.23
SFIX,US8608971078,20201217,-900,68.77,-61893
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201218,2742,16.97,46531.74
ETSY,US29786A1060,20201218,457,190.76,87177.32
IWV,US4642876894,20201218,12127,221.16,2682007.32
MPW,US58463J3041,20201218,3000,21.08,63240
PFE,US7170811035,20201218,2350,37.68,88548
WMT,US9311421039,20201218,204,145.95,29773.8
WWE,US98156Q1085,20201218,2027,46.43,94113.61
SFIX,US8608971078,20201218,-900,70.01,-63009
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201221,2742,16.86,46230.12
ETSY,US29786A1060,20201221,457,189.2,86464.4
IWV,US4642876894,20201221,12127,220.82,2677884.14
MPW,US58463J3041,20201221,3000,20.95,62850
PFE,US7170811035,20201221,2350,37.38,87843
WMT,US9311421039,20201221,204,145.97,29777.88
WWE,US98156Q1085,20201221,2027,46.19,93627.13
SFIX,US8608971078,20201221,-900,70.85,-63765
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
